freq_1,freq_2,power_1,power_2,run1_success,run2_s,run3_s,run1_attempts,run2_a,run3_a
910.0,910,6.0,3,0,0,0,200,200,200
910.0,910,7.0,3,0,0,0,200,200,200
910.0,910,8.0,3,159,173,181,200,200,200
910.0,910,9.0,3,200,200,200,200,200,200
910.0,910,10.0,3,200,200,200,200,200,200
910.0,910,11.0,3,200,200,200,200,200,200
910.0,910,12.0,3,200,200,200,200,200,200
910.0,910,13.0,3,200,200,200,200,200,200
911.0,910,6.0,3,0,0,0,200,200,200
911.0,910,7.0,3,0,0,0,200,200,200
911.0,910,8.0,3,10,15,9,200,200,200
911.0,910,9.0,3,0,17,23,200,200,200
911.0,910,10.0,3,21,30,29,200,200,200
911.0,910,11.0,3,30,32,35,200,200,200
911.0,910,12.0,3,35,16,20,200,200,200
911.0,910,13.0,3,38,37,11,200,200,200
912.0,910,6.0,3,0,0,0,73,68,68
912.0,910,7.0,3,0,0,0,75,67,61
912.0,910,8.0,3,9,5,5,76,72,73
912.0,910,9.0,3,9,4,19,76,74,91
912.0,910,10.0,3,28,9,6,106,79,78
912.0,910,11.0,3,0,5,0,71,76,67
912.0,910,12.0,3,10,20,6,84,92,84
912.0,910,13.0,3,16,30,5,102,119,79
913.0,910,6.0,3,0,0,0,95,95,70
913.0,910,7.0,3,0,0,0,82,98,98
913.0,910,8.0,3,40,19,18,200,94,127
913.0,910,9.0,3,13,11,20,94,95,106
913.0,910,10.0,3,20,15,40,107,99,141
913.0,910,11.0,3,8,14,6,92,87,76
913.0,910,12.0,3,9,10,8,91,89,85
913.0,910,13.0,3,3,5,14,69,75,92
914.0,910,6.0,3,0,0,0,200,200,200
914.0,910,7.0,3,0,0,0,200,200,200
914.0,910,8.0,3,0,26,0,200,200,200
914.0,910,9.0,3,21,16,14,200,200,200
914.0,910,10.0,3,59,32,33,200,200,200
914.0,910,11.0,3,17,46,32,200,200,200
914.0,910,12.0,3,24,17,19,200,200,200
914.0,910,13.0,3,18,13,21,200,200,200
915.0,910,6.0,3,0,0,0,200,200,200
915.0,910,7.0,3,0,0,0,200,200,200
915.0,910,8.0,3,18,5,3,40,14,6
915.0,910,9.0,3,188,183,193,200,200,200
915.0,910,10.0,3,199,200,200,200,200,200
915.0,910,11.0,3,200,200,200,200,200,200
915.0,910,12.0,3,200,200,200,200,200,200
915.0,910,13.0,3,200,200,200,200,200,200
